id;code;sample;X1;Y1;Z1;X2;Y2;Z2
7004a;faune;dec9;1008.734;1092.221;-5.663;1008.727;1092.253;-5.665
7174a;faune;dec9;1008.927;1091.639;-5.712;1008.89;1091.62;-5.715
6990a;faune;dec9;1008.571;1092.181;-5.651;1008.584;1092.222;-5.648
7489a;faune;dec9;1008.959;1092.632;-5.669;1008.921;1092.61;-5.668
7148a;faune;dec9;1008.993;1091.135;-5.751;1008.999;1091.182;-5.746
7459a;faune;dec9;1009.089;1092.511;-5.662;1009.14;1092.521;-5.68
7598a;faune;dec9;1008.481;1092.073;-5.654;1008.479;1092.125;-5.644
7398a;faune;dec9;1008.932;1092.225;-5.691;1008.887;1092.253;-5.683
7430a;faune;dec9;1008.85;1092.146;-5.677;1008.801;1092.124;-5.684
6937a;faune;dec9;1008.534;1092.723;-5.636;1008.589;1092.726;-5.64
7413a;faune;dec9;1009.246;1092.257;-5.697;1009.231;1092.311;-5.68
7260a;faune;dec9;1008.942;1091.377;-5.736;1008.937;1091.433;-5.726
6940a;faune;dec9;1008.737;1092.793;-5.656;1008.768;1092.841;-5.667
7431a;faune;dec9;1008.619;1092.235;-5.66;1008.593;1092.286;-5.655
7150a;faune;dec9;1008.877;1091.291;-5.736;1008.934;1091.299;-5.745
7445a;faune;dec9;1008.815;1092.475;-5.671;1008.873;1092.47;-5.677
6767a;faune;dec9;1007.504;1090.548;-5.735;1007.532;1090.494;-5.742
7543a;faune;dec9;1008.63;1092.302;-5.668;1008.642;1092.242;-5.658
7139a;faune;dec9;1008.574;1091.533;-5.716;1008.527;1091.573;-5.696
7486a;faune;dec9;1008.957;1092.499;-5.672;1008.896;1092.488;-5.67
7367a;faune;dec9;1009.057;1092.095;-5.693;1009.113;1092.124;-5.703
6921a;faune;dec9;1008.198;1089.981;-5.776;1008.241;1090.029;-5.768
7320a;faune;dec9;1008.865;1092.104;-5.669;1008.8;1092.104;-5.66
6905a;faune;dec9;1007.926;1090.037;-5.775;1007.987;1090.014;-5.782
7342a;faune;dec9;1008.847;1091.981;-5.695;1008.834;1092.045;-5.677
6979a;faune;dec9;1009.033;1092.983;-5.676;1008.983;1092.94;-5.664
7447a;faune;dec9;1008.823;1092.394;-5.664;1008.889;1092.387;-5.675
6943a;faune;dec9;1008.366;1090.18;-5.773;1008.313;1090.22;-5.763
7458a;faune;dec9;1009.08;1092.511;-5.658;1009.142;1092.536;-5.681
7047a;faune;dec9;1008.935;1090.117;-5.799;1008.875;1090.149;-5.782
7293a;faune;dec9;1008.772;1091.786;-5.7;1008.717;1091.826;-5.693
7466a;faune;dec9;1009.078;1092.558;-5.67;1009.011;1092.571;-5.654
7329a;faune;dec9;1009.177;1091.709;-5.733;1009.171;1091.777;-5.719
7279a;faune;dec9;1008.573;1091.791;-5.675;1008.558;1091.724;-5.69
7415a;faune;dec9;1008.855;1092.142;-5.684;1008.916;1092.174;-5.678
7518a;faune;dec9;1009.276;1092.667;-5.66;1009.31;1092.727;-5.65
7457a;faune;dec9;1009.07;1092.464;-5.657;1009.134;1092.491;-5.672
6900a;faune;dec9;1008.02;1090.335;-5.757;1007.99;1090.272;-5.76
7263a;faune;dec9;1009.165;1091.374;-5.741;1009.127;1091.434;-5.727
7323a;faune;dec9;1008.894;1091.937;-5.706;1008.83;1091.969;-5.688
7426a;faune;dec9;1008.908;1091.458;-5.731;1008.971;1091.493;-5.728
6926a;faune;dec9;1008.398;1090.031;-5.775;1008.45;1089.981;-5.785
7062a;faune;dec9;1009.204;1090.193;-5.797;1009.132;1090.188;-5.789
7310a;faune;dec9;1008.553;1091.981;-5.67;1008.625;1091.976;-5.676
6770a;faune;dec9;1007.57;1090.449;-5.759;1007.568;1090.522;-5.733
7350a;faune;dec9;1008.593;1092.064;-5.662;1008.596;1092.137;-5.652
6769a;faune;dec9;1007.55;1090.502;-5.736;1007.577;1090.434;-5.754
7230a;faune;dec9;1009.231;1090.784;-5.753;1009.299;1090.812;-5.757
7026a;faune;dec9;1008.774;1089.968;-5.792;1008.704;1089.943;-5.794
7353a;faune;dec9;1008.69;1092.124;-5.673;1008.666;1092.196;-5.66
7452a;faune;dec9;1008.988;1092.431;-5.66;1009.037;1092.489;-5.664
7470a;faune;dec9;1008.998;1092.471;-5.668;1008.951;1092.41;-5.663
6801a;faune;dec9;1009.186;1090.73;-5.765;1009.109;1090.721;-5.759
7326a;faune;dec9;1008.932;1091.858;-5.706;1008.926;1091.936;-5.704
7483a;faune;dec9;1008.686;1092.499;-5.668;1008.766;1092.495;-5.673
7182a;faune;dec9;1008.677;1091.922;-5.686;1008.708;1091.847;-5.698
7376a;faune;dec9;1008.72;1092.12;-5.673;1008.695;1092.198;-5.667
6718a;faune;dec9;1009.211;1092.806;-5.669;1009.208;1092.888;-5.655
7052a;faune;dec9;1009.045;1090.14;-5.787;1009.125;1090.164;-5.803
7385a;faune;dec9;1009.003;1092.25;-5.668;1009.061;1092.189;-5.705
7397a;faune;dec9;1008.969;1092.117;-5.676;1009.052;1092.132;-5.687
7513a;faune;dec9;1008.781;1092.821;-5.668;1008.86;1092.79;-5.672
7450a;faune;dec9;1008.793;1092.453;-5.669;1008.759;1092.375;-5.676
6992a;faune;dec9;1008.539;1092.273;-5.639;1008.524;1092.188;-5.644
7282a;faune;dec9;1008.627;1091.818;-5.676;1008.698;1091.767;-5.696
6860a;faune;dec9;1009.127;1092.734;-5.677;1009.128;1092.823;-5.676
7274a;faune;dec9;1008.702;1091.627;-5.705;1008.634;1091.687;-5.688
7551a;faune;dec9;1009.059;1092.297;-5.683;1009.114;1092.222;-5.704
6850a;faune;dec9;1008.822;1092.943;-5.65;1008.914;1092.962;-5.663
6655a;faune;dec9;1007.165;1090.156;-5.764;1007.08;1090.198;-5.767
7343a;faune;dec9;1008.901;1092.084;-5.673;1008.991;1092.053;-5.688
6794a;faune;dec9;1008.813;1093.573;-5.655;1008.772;1093.659;-5.645
7322a;faune;dec9;1008.795;1092.111;-5.66;1008.711;1092.065;-5.667
7269a;faune;dec9;1009.214;1091.531;-5.722;1009.141;1091.469;-5.735
7051a;faune;dec9;1009.03;1090.196;-5.793;1008.999;1090.105;-5.801
7387a;faune;dec9;1009.086;1092.234;-5.691;1009.167;1092.287;-5.678
7409a;faune;dec9;1009.257;1092.059;-5.705;1009.236;1091.961;-5.714
7341a;faune;dec9;1008.93;1091.975;-5.705;1008.829;1091.977;-5.69
7584a;faune;dec9;1009.292;1093.314;-5.66;1009.296;1093.212;-5.651
7249a;faune;dec9;1008.879;1091.342;-5.732;1008.8;1091.275;-5.728
7019a;faune;dec9;1008.85;1090.523;-5.763;1008.942;1090.571;-5.761
7400a;faune;dec9;1008.881;1092.252;-5.683;1008.919;1092.351;-5.674
7201a;faune;dec9;1009.112;1091.86;-5.703;1009.205;1091.913;-5.7
6829a;faune;dec9;1008.803;1093.041;-5.662;1008.867;1093.129;-5.668
7476a;faune;dec9;1008.696;1092.187;-5.67;1008.787;1092.125;-5.677
7226a;faune;dec9;1008.977;1090.701;-5.761;1009.091;1090.744;-5.758
7189a;faune;dec9;1009;1091.717;-5.711;1009.123;1091.718;-5.732
6830a;faune;dec9;1008.772;1093.082;-5.651;1008.869;1093.159;-5.671
7460a;faune;dec9;1009.1;1092.436;-5.673;1009.205;1092.513;-5.677
7300a;faune;dec9;1008.958;1091.8;-5.722;1008.833;1091.757;-5.719
7511a;faune;dec9;1008.944;1092.998;-5.666;1008.817;1092.96;-5.659
7225a;faune;dec9;1009.122;1090.738;-5.762;1009.007;1090.654;-5.763
7253a;faune;dec9;1009.293;1091.178;-5.757;1009.145;1091.155;-5.753
7272a;faune;dec9;1009.085;1091.698;-5.729;1008.947;1091.638;-5.722
7247a;faune;dec9;1008.719;1091.263;-5.716;1008.781;1091.12;-5.745
7548a;faune;dec9;1009.199;1092.293;-5.688;1009.128;1092.154;-5.71
6941a;faune;dec9;1008.261;1090.377;-5.722;1008.099;1090.37;-5.729
7299a;faune;dec9;1009.036;1091.851;-5.703;1008.922;1091.733;-5.726
6868a;faune;dec9;1009.167;1093.341;-5.682;1009.216;1093.498;-5.671
7241a;faune;dec9;1008.771;1090.837;-5.743;1008.898;1090.96;-5.748
7334a;faune;dec9;1009.111;1091.832;-5.708;1008.977;1091.949;-5.672
7338a;faune;dec9;1008.955;1091.903;-5.7;1009.132;1091.925;-5.708
7283a;faune;dec9;1008.887;1091.822;-5.696;1008.709;1091.788;-5.691
6893a;faune;dec9;1008.571;1089.702;-5.76;1008.649;1089.537;-5.817
6911a;faune;dec9;1007.628;1090.024;-5.766;1007.448;1089.986;-5.772
7523a;faune;dec9;1009.069;1092.069;-5.701;1009.262;1092.033;-5.724
7295a;faune;dec9;1008.752;1091.91;-5.691;1008.797;1091.714;-5.723
6795a;faune;dec9;1009.107;1093.395;-5.685;1008.976;1093.574;-5.649
